Title,CTO Name
ASSOC AGRON AES,AGRONOMIST-TENURE
ASSOC AGRON AES-AY,AGRONOMIST-TENURE
ASSOC AGRON AES-AY-B/E/E,AGRONOMIST-TENURE
ASSOC AGRON AES-B/E/E,AGRONOMIST-TENURE
ASSOC AGRON AES-SFT-VM,AGRONOMIST-TENURE
ASSOC ASTRONOMER,ASTRONOMER-TENURE
ASSOC CLIN PROF-VOL,CLINICAL PROFESSOR - VOLUNTEER
ASSOC COLLEGE PROVOST,PROVOST
ASSOC COOP EXT ADVISOR,COOPERATIVE EXTENSION ADVISOR
ASSOC COOP EXT ADVISOR NEX,COOPERATIVE EXTENSION ADVISOR
ASSOC COORD PUB PROG NON REP,MISCELLANEOUS TITLES-SERIES
ASSOC COORD PUBLIC PROG,MISCELLANEOUS TITLES-SERIES
ASSOC CURATOR,MISCELLANEOUS TITLES-SERIES
ASSOC DEAN,DEAN
ASSOC DIRECTOR,DIRECTOR
ASSOC DIVISIONAL DEAN,DIVISIONAL DEAN
ASSOC FLD PROG SUPV,MISCELLANEOUS TITLES-SERIES
ASSOC IN __ -AY-1/10-GSHIP,ASSOCIATE-STUDENT
ASSOC IN __ -AY-1/9-GSHIP,ASSOCIATE-STUDENT
ASSOC IN __- FY-GSHIP,ASSOCIATE-STUDENT
ASSOC IN ____-AY-GSHIP,ASSOCIATE-STUDENT
ASSOC IN __-AY-NON-GSHIP,ASSOCIATE-STUDENT
ASSOC IN __-FY-NON-GSHIP,ASSOCIATE-STUDENT
ASSOC IN__-AY- 1/10 -NON-GSHIP,ASSOCIATE-STUDENT
ASSOC IN__-AY- 1/9 -NON-GSHIP,ASSOCIATE-STUDENT
ASSOC LAW LIBRARIAN,ASSOC & ASST UNIVERSITY LIBRARIAN
ASSOC LAW LIBRARIAN NEX,ASSOC & ASST UNIVERSITY LIBRARIAN
ASSOC LIBRARIAN -CAREER STATUS,LIBRARIAN
ASSOC LIBRARIAN-CAREER NEX,LIBRARIAN
ASSOC LIBRARIAN-POTNTL CAR NEX,LIBRARIAN
ASSOC LIBRARIAN-POTNTL CAREER,LIBRARIAN
ASSOC LIBRARIAN-TEMP NEX,LIBRARIAN
ASSOC LIBRARIAN-TEMP STATUS,LIBRARIAN
ASSOC PROF IN RES-AY,PROFESSOR IN RESIDENCE
ASSOC PROF IN RES-AY-1/10-B/E/E,PROFESSOR IN RESIDENCE
ASSOC PROF IN RES-AY-1/9,PROFESSOR IN RESIDENCE
ASSOC PROF IN RES-AY-1/9-B/E/E,PROFESSOR IN RESIDENCE
ASSOC PROF IN RES-AY-B/E/E,PROFESSOR IN RESIDENCE
ASSOC PROF IN RES-FY,PROFESSOR IN RESIDENCE
ASSOC PROF IN RES-FY-B/E/E,PROFESSOR IN RESIDENCE
ASSOC PROF IN RES-HCOMP,PROFESSOR IN RESIDENCE
ASSOC PROF IN RES-SFT-VM,PROFESSOR IN RESIDENCE
ASSOC PROF OF CLIN-FY,PROFESSOR OF CLINICAL __________
ASSOC PROF OF CLIN-HCOMP,PROFESSOR OF CLINICAL __________
ASSOC PROF OF CLIN-SFT-VM,PROFESSOR OF CLINICAL __________
ASSOC PROF-10 MONTHS,PROFESSORIAL-TENURE
ASSOC PROF-AY,PROFESSORIAL-TENURE
ASSOC PROF-AY-1/9,PROFESSORIAL-TENURE
ASSOC PROF-AY-1/9-B/E/E,PROFESSORIAL-TENURE
ASSOC PROF-AY-B/E/E,PROFESSORIAL-TENURE
ASSOC PROF-FY,PROFESSORIAL-TENURE
ASSOC PROF-FY-B/E/E,PROFESSORIAL-TENURE
ASSOC PROF-HCOMP,PROFESSORIAL-TENURE
ASSOC PROF-SFT-VM,PROFESSORIAL-TENURE
ASSOC PROJ SCIENTIST (WOS),PROJECT SERIES
ASSOC PROJ SCIENTIST-FY,PROJECT SERIES
ASSOC PROJ SCIENTIST-FY NEX,PROJECT SERIES
ASSOC PROJ SCIENTIST-FY-B/E/E,PROJECT SERIES
ASSOC PROJ SCI-FY NON REP,PROJECT SERIES
ASSOC PROJ SCI-FY-B/E/E NONREP,PROJECT SERIES
ASSOC PROJ SCNTST-FY-B/E/E NEX,PROJECT SERIES
ASSOC RES (WOS),PROFESSIONAL RESEARCH-REGULAR
ASSOC RES PROF-MILLER INST-AY,OTHER RESEARCH
ASSOC RES PROF-MILLER INST-FY,OTHER RESEARCH
ASSOC RES SCRIPPS-AY,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-FY,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-FY NEX,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-FY-B/E/E,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-FY-B/E/E NEX,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-FY-B/E/E-NON REP,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-FY-NON REP,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-LR SCL-AY,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-LR SCL-AY-1/9,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-LR SCL-AY-1/9-B/E/E,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-LR SCL-AY-B/E/E,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-LR SCL-FY,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-LR SCL-FY-B/E/E,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-SFT,PROFESSIONAL RESEARCH-REGULAR
ASSOC RES-SFT NEX,PROFESSIONAL RESEARCH-REGULAR
ASSOC SPECIALIST,SPECIALIST
ASSOC SPECIALIST (WOS),SPECIALIST
ASSOC SPECIALIST AES,SPECIALIST IN A.E.S.
ASSOC SPECIALIST AES NEX,SPECIALIST IN A.E.S.
ASSOC SPECIALIST COOP EXT,SPECIALIST IN COOPERATIVE EXTENSION
ASSOC SPECIALIST COOP EXT NEX,SPECIALIST IN COOPERATIVE EXTENSION
ASSOC SPECIALIST NEX,SPECIALIST
ASSOC SPECIALIST NEX NON REP,SPECIALIST
ASSOC SPECIALIST NON REP,SPECIALIST
ASSOC SUPV PE-AY,SUPERVISOR OF P.E.-TENURE
ASSOC UNIV LIBRARIAN,ASSOC & ASST UNIVERSITY LIBRARIAN
ASSOC UNIV LIBRARIAN NEX,ASSOC & ASST UNIVERSITY LIBRARIAN
ASSOC VICE CHANC,MISCELLANEOUS TITLES-SINGLE TITLES
ASSOC VICE PROVOST,PROVOST
ASST ADJ PROF-AY,ADJUNCT PROFESSOR
ASST ADJ PROF-AY-1/10,ADJUNCT PROFESSOR
ASST ADJ PROF-AY-1/10-BEE,ADJUNCT PROFESSOR
ASST ADJ PROF-AY-1/9,ADJUNCT PROFESSOR
ASST ADJ PROF-AY-1/9-B/E/E,ADJUNCT PROFESSOR
ASST ADJ PROF-AY-B/E/E,ADJUNCT PROFESSOR
ASST ADJ PROF-FY,ADJUNCT PROFESSOR
ASST ADJ PROF-FY-B/E/E,ADJUNCT PROFESSOR
ASST ADJ PROF-HCOMP,ADJUNCT PROFESSOR
ASST ADJ PROF-SFT-VM,ADJUNCT PROFESSOR
ASST AGRON AES,AGRONOMIST-NON-TENURE
ASST AGRON AES-AY,AGRONOMIST-NON-TENURE
ASST AGRON AES-AY-B/E/E,AGRONOMIST-NON-TENURE
ASST AGRON AES-B/E/E,AGRONOMIST-NON-TENURE
ASST AGRON AES-SFT-VM,AGRONOMIST-NON-TENURE
ASST CLIN PROF-VOL,CLINICAL PROFESSOR - VOLUNTEER
ASST COLLEGE PROVOST,PROVOST
ASST COOP EXT ADVISOR,COOPERATIVE EXTENSION ADVISOR
ASST COOP EXT ADVISOR NEX,COOPERATIVE EXTENSION ADVISOR
ASST COORD PUB PROG NON REP,MISCELLANEOUS TITLES-SERIES
ASST COORD PUBLIC PROG,MISCELLANEOUS TITLES-SERIES
ASST CURATOR,MISCELLANEOUS TITLES-SERIES
ASST DEAN,DEAN
ASST DIRECTOR,DIRECTOR
ASST LAW LIBRARIAN,ASSOC & ASST UNIVERSITY LIBRARIAN
ASST LAW LIBRARIAN NEX,ASSOC & ASST UNIVERSITY LIBRARIAN
ASST LIBRARIAN-CAREER NEX,LIBRARIAN
ASST LIBRARIAN-CAREER STATUS,LIBRARIAN
ASST LIBRARIAN-POTNTL CAR NEX,LIBRARIAN
ASST LIBRARIAN-POTNTL CAREER,LIBRARIAN
ASST LIBRARIAN-TEMP STATUS,LIBRARIAN
ASST LIBRARIAN-TEMP STATUS NEX,LIBRARIAN
ASST PROF IN RES-AY,PROFESSOR IN RESIDENCE
ASST PROF IN RES-AY-1/10-B/E/E,PROFESSOR IN RESIDENCE
ASST PROF IN RES-AY-1/9,PROFESSOR IN RESIDENCE
ASST PROF IN RES-AY-1/9-B/E/E,PROFESSOR IN RESIDENCE
ASST PROF IN RES-AY-B/E/E,PROFESSOR IN RESIDENCE
ASST PROF IN RES-FY,PROFESSOR IN RESIDENCE
ASST PROF IN RES-FY-B/E/E,PROFESSOR IN RESIDENCE
ASST PROF IN RES-HCOMP,PROFESSOR IN RESIDENCE
ASST PROF IN RES-SFT-VM,PROFESSOR IN RESIDENCE
ASST PROF OF CLIN-FY,PROFESSOR OF CLINICAL __________
ASST PROF OF CLIN-HCOMP,PROFESSOR OF CLINICAL __________
ASST PROF OF CLIN-SFT-VM,PROFESSOR OF CLINICAL __________
ASST PROF-10-MONTHS,PROFESSORIAL-NON-TENURE
ASST PROF-AY,PROFESSORIAL-NON-TENURE
ASST PROF-AY-1/9,PROFESSORIAL-NON-TENURE
ASST PROF-AY-1/9-B/E/E,PROFESSORIAL-NON-TENURE
ASST PROF-AY-B/E/E,PROFESSORIAL-NON-TENURE
ASST PROF-FY,PROFESSORIAL-NON-TENURE
ASST PROF-FY-B/E/E,PROFESSORIAL-NON-TENURE
ASST PROF-HCOMP,PROFESSORIAL-NON-TENURE
ASST PROF-SFT-VM,PROFESSORIAL-NON-TENURE
ASST PROJ SCIENTIST (WOS),PROJECT SERIES
ASST PROJ SCIENTIST-FY,PROJECT SERIES
ASST PROJ SCIENTIST-FY NEX,PROJECT SERIES
ASST PROJ SCIENTIST-FY NON REP,PROJECT SERIES
ASST PROJ SCIENTIST-FY-B/E/E,PROJECT SERIES
ASST PROJ SCI-FY-B/E/E NON REP,PROJECT SERIES
ASST PROJ SCNTST-FY-B/E/E NEX,PROJECT SERIES
ASST RES (WOS),PROFESSIONAL RESEARCH-REGULAR
ASST RES SCRIPPS-AY,PROFESSIONAL RESEARCH-REGULAR
ASST RES-FY,PROFESSIONAL RESEARCH-REGULAR
ASST RES-FY NEX,PROFESSIONAL RESEARCH-REGULAR
ASST RES-FY-B/E/E,PROFESSIONAL RESEARCH-REGULAR
ASST RES-FY-B/E/E NEX,PROFESSIONAL RESEARCH-REGULAR
ASST RES-FY-B/E/E-NON REP,PROFESSIONAL RESEARCH-REGULAR
ASST RES-FY-NON REP,PROFESSIONAL RESEARCH-REGULAR
ASST RES-LR SCL-AY,PROFESSIONAL RESEARCH-REGULAR
ASST RES-LR SCL-AY-1/9,PROFESSIONAL RESEARCH-REGULAR
ASST RES-LR SCL-AY-1/9-B/E/E,PROFESSIONAL RESEARCH-REGULAR
ASST RES-LR SCL-AY-B/E/E,PROFESSIONAL RESEARCH-REGULAR
ASST RES-LR SCL-FY,PROFESSIONAL RESEARCH-REGULAR
ASST RES-LR SCL-FY-B/E/E,PROFESSIONAL RESEARCH-REGULAR
ASST RES-SFT,PROFESSIONAL RESEARCH-REGULAR
ASST RES-SFT NEX,PROFESSIONAL RESEARCH-REGULAR
ASST SPECIALIST,SPECIALIST
ASST SPECIALIST (WOS),SPECIALIST
ASST SPECIALIST AES,SPECIALIST IN A.E.S.
ASST SPECIALIST AES NEX,SPECIALIST IN A.E.S.
ASST SPECIALIST COOP EXT,SPECIALIST IN COOPERATIVE EXTENSION
ASST SPECIALIST COOP EXT NEX,SPECIALIST IN COOPERATIVE EXTENSION
ASST SPECIALIST NEX,SPECIALIST
ASST SPECIALIST NEX NON REP,SPECIALIST
ASST SPECIALIST NON REP,SPECIALIST
ASST TEACHER-UNEX,UNIVERSITY EXTENSION-OTHER
ASST UNIV LIBRARIAN,ASSOC & ASST UNIVERSITY LIBRARIAN
ASST UNIV LIBRARIAN NEX,ASSOC & ASST UNIVERSITY LIBRARIAN
ASST VICE CHANC,MISCELLANEOUS TITLES-SINGLE TITLES
ASTRONOMER,ASTRONOMER-TENURE
CHAIR-SEN ASMBLY&ACADEMIC CNCL,MISCELLANEOUS TITLES-SINGLE TITLES
CHI GREEN SCHOLAR-UCSD,OTHER RESEARCH
CHIEF RESID PHYS-NON REP,INTERN OR RESIDENT
CHIEF RESID PHYS-REP,INTERN OR RESIDENT
CHIEF RESID PHYS-REP-OV,INTERN OR RESIDENT
CHILD DEV DEMO LECT,MISCELLANEOUS TITLES-SINGLE TITLES
CHILD DEV DEMO LECT-CONTINUING,MISCELLANEOUS TITLES-SINGLE TITLES
CLIN ASSOCIATE,MISCELLANEOUS TITLES-SINGLE TITLES
CLIN INSTR-VOL,CLINICAL PROFESSOR - VOLUNTEER
CLIN PROF-DENT-50%/+-FY,CLIN PROF-DENTISTRY-50%+/TENURE
CLIN PROF-VOL,CLINICAL PROFESSOR - VOLUNTEER
COLLEGE PROVOST,PROVOST
COMM TEACHG FELLOW-GSHIP,OTHER STUDENT TITLES
COMM TEACHG FELLOW-NON GSHIP,OTHER STUDENT TITLES
CONTINUING APPT-TEMP AUG,LECTURER
CONTINUING APPT-TEMP AUG-1/9,LECTURER
CONTINUING APPT-TEMP-AUG-1/10,LECTURER
CONTINUING EDUCATOR I,CONTINUING EDUCATOR -UNEX
CONTINUING EDUCATOR I NEX,CONTINUING EDUCATOR -UNEX
CONTINUING EDUCATOR II,CONTINUING EDUCATOR -UNEX
CONTINUING EDUCATOR II NEX,CONTINUING EDUCATOR -UNEX
CONTINUING EDUCATOR III,CONTINUING EDUCATOR -UNEX
CONTINUING EDUCATOR III NEX,CONTINUING EDUCATOR -UNEX
COOP EXT ADVISOR,COOPERATIVE EXTENSION ADVISOR
COOP EXT ADVISOR NEX,COOPERATIVE EXTENSION ADVISOR
COORD FLD WK-AY,INSTRUCTIONAL ASSISTANT
COORD FLD WK-AY-CONTINUING,INSTRUCTIONAL ASSISTANT
COORD FLD WK-FY,INSTRUCTIONAL ASSISTANT
COORD FLD WK-FY-CONTINUING,INSTRUCTIONAL ASSISTANT
COORD OF PUB PROG I NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG II NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG III NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG IV NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG V NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG VI NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG VII NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUB PROG VIII NON REP,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG I NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG II NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG III NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG IV NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG V NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG VI NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG VII NEX,MISCELLANEOUS TITLES-SERIES
COORD OF PUBLIC PROG VIII NEX,MISCELLANEOUS TITLES-SERIES
COORD PUB PROG NON REP,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG I,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG II,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG III,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG IV,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG V,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG VI,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG VII,MISCELLANEOUS TITLES-SERIES
COORD PUBLIC PROG VIII,MISCELLANEOUS TITLES-SERIES
COURSE AUTHOR-UNEX,UNIVERSITY EXTENSION-OTHER
COURSE AUTHOR-UNEX NEX,UNIVERSITY EXTENSION-OTHER
CURATOR,MISCELLANEOUS TITLES-SERIES
DEAN,DEAN
DEAN-EXTENDED LEARNING,DEAN
DEMO TEACHER,MISCELLANEOUS TITLES-SINGLE TITLES
DEMO TEACHER-CONTINUING,MISCELLANEOUS TITLES-SINGLE TITLES
DEPARTMENT CHAIR,DEPARTMENT CHAIRPERSON
DEPARTMENT VICE CHAIR,DEPARTMENT CHAIRPERSON
DIRECTOR,DIRECTOR
DIRECTOR-EAP STUDY CENTER,MISCELLANEOUS TITLES-SERIES
DIVISIONAL DEAN,DIVISIONAL DEAN
EAP-TEMP FACULTY HOUSING ALLOW,SUPPLEMENTAL PAY CODES
EDUCATOR (WOS),MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ADMIN TRANSITION LV-AY,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ADMIN TRANSITION LV-FY,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ADVISOR,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ASST TO CHANC,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ASST TO PROVOST/DEAN,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY ASST TO VICE CHANC,MISCELLANEOUS TITLES-SINGLE TITLES
FACULTY CONSULTANT,MISCELLANEOUS TITLES-SERIES
FACULTY FELLOW RES-AY,POST-GRADUATE RESEARCH-NON-STUDENT
FACULTY FELLOW RES-AY-1/9,POST-GRADUATE RESEARCH-NON-STUDENT
FACULTY RECRUITMENT ALLOW,SUPPLEMENTAL PAY CODES
FLD PROG SUPV,MISCELLANEOUS TITLES-SERIES
FLD WK CONSULT-AY,INSTRUCTIONAL ASSISTANT
FLD WK CONSULT-AY-CONTINUING,INSTRUCTIONAL ASSISTANT
FLD WK CONSULT-FY,INSTRUCTIONAL ASSISTANT
FLD WK CONSULT-FY-CONTINUING,INSTRUCTIONAL ASSISTANT
FLD WK SUPV-AY,INSTRUCTIONAL ASSISTANT
FLD WK SUPV-AY-CONTINUING,INSTRUCTIONAL ASSISTANT
FLD WK SUPV-FY,INSTRUCTIONAL ASSISTANT
